EmployeeID,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,TrainingTimesLastYear,MonthlyIncome,PercentSalaryHike,StockOptionLevel,DistanceFromHome,BusinessTravel,OverTime,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition
1,56,Female,Married,3,Human Resources,Research & Development,Human Resources,3,18,3,6,5,18,2,3,10697,23,0,2,Travel_Rarely,No,2,3,4,3,3,3,No
2,46,Male,Single,1,Technical Degree,Research & Development,Sales Representative,1,10,3,10,4,14,1,4,6657,24,3,13,Travel_Rarely,No,2,4,4,1,4,4,No
3,32,Male,Single,5,Medical,Research & Development,Research Scientist,2,8,8,8,6,33,0,2,5971,22,1,25,Travel_Rarely,No,3,2,3,4,3,3,Yes
4,25,Male,Single,3,Human Resources,Research & Development,Sales Representative,5,13,2,9,0,18,5,4,12264,24,1,16,Travel_Frequently,No,1,4,3,3,3,3,No
5,38,Male,Married,2,Medical,Sales,Sales Representative,1,8,0,1,8,20,6,3,6029,23,2,8,Travel_Rarely,No,4,2,1,3,1,3,No
6,56,Female,Divorced,4,Human Resources,Sales,Healthcare Representative,2,33,16,13,0,33,5,5,7861,16,1,3,Travel_Rarely,Yes,2,2,2,2,4,3,Yes
7,36,Female,Married,2,Life Sciences,Sales,Human Resources,3,2,2,2,2,16,8,3,7053,22,0,21,Travel_Frequently,No,1,1,2,4,1,4,Yes
8,40,Male,Single,4,Marketing,Sales,Laboratory Technician,4,17,15,7,10,17,8,5,12742,15,0,19,Travel_Rarely,No,3,1,2,3,2,4,Yes
9,28,Female,Married,3,Other,Sales,Manufacturing Director,5,16,4,14,6,16,1,6,12490,19,3,14,Travel_Rarely,Yes,3,2,1,1,1,4,Yes
10,28,Female,Married,1,Life Sciences,Sales,Sales Executive,3,1,1,1,1,1,1,2,7108,19,0,11,Non-Travel,Yes,3,3,1,3,3,3,No
11,41,Female,Married,2,Other,Research & Development,Manager,2,0,0,0,0,0,8,4,5279,13,2,29,Travel_Frequently,No,3,3,3,4,4,3,No
12,53,Male,Divorced,2,Human Resources,Human Resources,Manufacturing Director,5,6,1,4,6,9,0,3,12688,19,0,12,Travel_Rarely,No,4,3,2,2,2,3,No
13,57,Male,Single,2,Marketing,Research & Development,Sales Executive,1,27,2,12,16,36,4,6,4698,23,3,11,Travel_Rarely,No,2,3,4,3,2,3,Yes
